2023-03-25_15:04:45 INFO LoadDBCashShopCoin() - [SRV 18 -- 30000 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 139-Admin] Success: [0, 0]
2023-03-25_15:06:21 INFO LoadDBCashShopCoin() - [SRV 18 -- 30001 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 139-Admin] Success: [0, 0]
2023-03-25_15:13:53 INFO LoadDBCashShopCoin() - [SRV 18 -- 30002 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 143-X] Success: [0, 0]
2023-03-25_15:18:24 INFO LoadDBCashShopCoin() - [SRV 18 -- 30003 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 143-X] Success: [0, 0]
2023-03-25_15:21:37 INFO LoadDBCashShopCoin() - [SRV 18 -- 30004 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 143-X] Success: [0, 0]
2023-03-25_15:25:26 INFO LoadDBCashShopCoin() - [SRV 18 -- 30005 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 143-X] Success: [0, 0]
2023-03-25_15:28:30 INFO LoadDBCashShopCoin() - [SRV 18 -- 30006 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 143-X] Success: [0, 0]
2023-03-25_15:29:34 INFO LoadDBCashShopCoin() - [SRV 18 -- 30007 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 143-X] Success: [0, 0]
2023-03-25_15:35:37 INFO LoadDBCashShopCoin() - [SRV 18 -- 30008 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 143-X] Success: [0, 0]
