2023-03-25_20:06:46 INFO LoadDBCashShopCoin() - [SRV 18 -- 30000 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 143-X] Success: [0, 0]
2023-03-25_20:10:53 INFO LoadDBCashShopCoin() - [SRV 18 -- 30001 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 143-X] Success: [0, 0]
2023-03-25_20:16:15 INFO LoadDBCashShopCoin() - [SRV 18 -- 30002 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 139-Admin] Success: [0, 0]
2023-03-25_20:19:11 INFO LoadDBCashShopCoin() - [SRV 18 -- 30003 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 139-Admin] Success: [0, 0]
2023-03-25_20:24:22 INFO LoadDBCashShopCoin() - [SRV 18 -- 30004 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 139-Admin] Success: [0, 0]
2023-03-25_20:46:01 INFO LoadDBCashShopCoin() - [SRV 18 -- 30005 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 143-X] Success: [0, 0]
2023-03-25_20:47:30 INFO LoadDBCashShopCoin() - [SRV 18 -- 30006 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 143-X] Success: [0, 0]
2023-03-25_22:11:53 INFO LoadDBCashShopCoin() - [SRV 18 -- 30007 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 145-Wizard] Success: [0, 0]
2023-03-25_22:14:26 INFO LoadDBCashShopCoin() - [SRV 18 -- 30008 - IP: 77.175.188.143 - Account: 2-blackgaara - Character: 145-Wizard] Success: [0, 0]
